Rank,Name,Team,sWAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
1,송성문,25,7.46,130,6.6,0.86,581,577,513,91,161,32,3,24,271,78,23,2,64,1,5,81,6,0,3,0.314,0.389,0.528,0.917,0.183,165.7,7.46
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,양의지,25,6.39,122,6.23,0.15,497,494,435,55,145,26,1,20,233,87,3,2,49,7,6,60,9,0,6,0.333,0.404,0.536,0.94,0.189,163.2,6.39
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,김주원,25,5.99,124,5.84,0.15,553,549,478,90,143,23,7,14,222,56,38,9,55,14,1,97,8,4,2,0.299,0.386,0.464,0.85,0.168,136.7,5.99
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,안현민,25,5.68,97,5.65,0.03,415,411,339,62,113,15,4,19,193,70,7,0,65,8,5,63,3,0,3,0.333,0.448,0.569,1.017,0.225,184.1,5.68
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,박성한,25,4.68,110,4.05,0.63,466,464,387,62,106,21,1,6,147,40,4,6,72,3,1,82,5,2,2,0.274,0.39,0.38,0.77,0.151,123.4,4.68
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,문보경,25,4.48,125,4.9,-0.42,546,544,463,83,134,19,1,24,227,106,3,1,70,4,3,86,11,0,9,0.289,0.381,0.49,0.871,0.171,146.9,4.48
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,박동원,25,4.4,122,4.01,0.4,457,452,393,50,99,21,0,19,177,64,4,0,54,2,4,109,9,3,5,0.252,0.341,0.45,0.791,0.14,120.1,4.4
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,박민우,25,4.3,114,3.58,0.72,462,455,399,64,121,24,8,3,170,67,28,8,43,12,5,63,5,4,4,0.303,0.384,0.426,0.81,0.151,123.6,4.3
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,김성윤,25,4.27,110,4,0.27,462,452,392,75,127,25,9,4,182,49,24,6,54,4,0,50,9,10,2,0.324,0.409,0.464,0.873,0.181,140.3,4.27
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,박해민,25,4,127,2.88,1.11,481,460,386,69,105,16,2,3,134,40,44,14,62,8,0,81,6,21,4,0.272,0.38,0.347,0.727,0.137,117.3,4
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,디아즈,25,3.99,127,3.14,0.84,555,550,491,80,145,24,0,43,298,131,1,0,50,4,7,90,13,0,10,0.295,0.359,0.607,0.966,0.186,145.8,3.99
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,구자욱,25,3.78,126,4.37,-0.59,548,543,472,95,151,39,1,18,246,85,4,1,62,5,7,81,9,1,8,0.32,0.399,0.521,0.92,0.182,143,3.78
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,최형우,25,3.72,118,3.73,-0.01,495,491,418,65,127,28,1,20,217,76,0,0,64,8,8,89,7,0,5,0.304,0.402,0.519,0.921,0.185,157.6,3.72
